,Sample_ID,R1,R2,Original_ID,Output_ID
96,S0256-08,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0256-08_S29_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0256-08_S29_R2_001.fastq.gz,S0256-08,S0256-08
97,S0257-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0257_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0257_01_R2.fastq.gz,S0257-01,S0257-01
98,S0257-07,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0257-07_S56_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0257-07_S56_R2_001.fastq.gz,S0257-07,S0257-07
99,S0258-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0258_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0258_01_R2.fastq.gz,S0258-01,S0258-01
100,S0259-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0259_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0259_01_R2.fastq.gz,S0259-01,S0259-01
101,S0261-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0261_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0261_01_R2.fastq.gz,S0261-01,S0261-01
102,S0262-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0262_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0262_01_R2.fastq.gz,S0262-01,S0262-01
103,S0265-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0265_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0265_01_R2.fastq.gz,S0265-01,S0265-01
104,S0267-01_K064754,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064754_S45_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064754_S45_R2_001.fastq.gz,S0267-01,S0267-01
105,S0269-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0269_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0269_01_R2.fastq.gz,S0269-01,S0269-01
106,S0269-04,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0269-04_S37_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0269-04_S37_R2_001.fastq.gz,S0269-04,S0269-04
107,S0270-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0270_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0270_01_R2.fastq.gz,S0270-01,S0270-01
108,S0272-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0272-01_S43_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0272-01_S43_R2_001.fastq.gz,S0272-01,S0272-01
109,S0272-09,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0272-09_S20_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0272-09_S20_R2_001.fastq.gz,S0272-09,S0272-09
110,S0273-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0273-01_S36_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0273-01_S36_R2_001.fastq.gz,S0273-01,S0273-01
111,S0273-05,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0273-05_S39_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0273-05_S39_R2_001.fastq.gz,S0273-05,S0273-05
112,S0274-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0274-01_S49_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0274-01_S49_R2_001.fastq.gz,S0274-01,S0274-01
113,S0274-08,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0274-08_S33_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0274-08_S33_R2_001.fastq.gz,S0274-08,S0274-08
114,S0276-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0276-01_S50_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0276-01_S50_R2_001.fastq.gz,S0276-01,S0276-01
115,S0276-07,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0276-07_S17_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0276-07_S17_R2_001.fastq.gz,S0276-07,S0276-07
116,S0278-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0278-01_S30_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0278-01_S30_R2_001.fastq.gz,S0278-01,S0278-01
117,S0278-06,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0278-06_S51_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0278-06_S51_R2_001.fastq.gz,S0278-06,S0278-06
118,S0279-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0279-01_S57_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0279-01_S57_R2_001.fastq.gz,S0279-01,S0279-01
119,S0279-01_K064745,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064745_S36_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064745_S36_R2_001.fastq.gz,S0279-01,S0279-01_K064745
120,S0279-06,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0279-06_S53_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0279-06_S53_R2_001.fastq.gz,S0279-06,S0279-06
121,S0279-06_K064731,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064731_S22_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064731_S22_R2_001.fastq.gz,S0279-06,S0279-06_K064731
122,S0280-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0280-01_S60_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0280-01_S60_R2_001.fastq.gz,S0280-01,S0280-01
123,S0280-06,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0280-06_S42_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0280-06_S42_R2_001.fastq.gz,S0280-06,S0280-06
124,S0281-01_K064753,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064753_S44_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064753_S44_R2_001.fastq.gz,S0281-01,S0281-01
125,S0283-01_K064746,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064746_S37_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064746_S37_R2_001.fastq.gz,S0283-01,S0283-01
126,S0284-07,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0284-07_S24_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0284-07_S24_R2_001.fastq.gz,S0284-07,S0284-07
127,S0288-01_K064764,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064764_S55_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064764_S55_R2_001.fastq.gz,S0288-01,S0288-01
128,S0290-01_K064765,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064765_S56_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064765_S56_R2_001.fastq.gz,S0290-01,S0290-01
129,S0291-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0291-01_S40_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0291-01_S40_R2_001.fastq.gz,S0291-01,S0291-01
130,S0291-09,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0291-09_S46_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0291-09_S46_R2_001.fastq.gz,S0291-09,S0291-09
131,S0294-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0294-01_S35_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0294-01_S35_R2_001.fastq.gz,S0294-01,S0294-01
132,S0298-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0298-01_S27_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0298-01_S27_R2_001.fastq.gz,S0298-01,S0298-01
133,S0301-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0301-01_S38_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0301-01_S38_R2_001.fastq.gz,S0301-01,S0301-01
134,S0305-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0305-01_S41_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0305-01_S41_R2_001.fastq.gz,S0305-01,S0305-01
135,S0307-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0307-01_S25_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0307-01_S25_R2_001.fastq.gz,S0307-01,S0307-01
136,S0310-01_K064755,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064755_S46_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064755_S46_R2_001.fastq.gz,S0310-01,S0310-01
137,S0314-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0314-01_S61_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0314-01_S61_R2_001.fastq.gz,S0314-01,S0314-01
138,S0314-01B_K064738,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064738_S29_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064738_S29_R2_001.fastq.gz,S0314-01B,S0314-01B
139,S0314-m5_K064722,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064722_S13_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064722_S13_R2_001.fastq.gz,S0314-m5,S0314-m5
140,S0317-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0317-01_S54_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0317-01_S54_R2_001.fastq.gz,S0317-01,S0317-01
141,S0317-01B_K064727,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064727_S18_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064727_S18_R2_001.fastq.gz,S0317-01B,S0317-01B
142,S0322-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0322-01_S63_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0322-01_S63_R2_001.fastq.gz,S0322-01,S0322-01
143,S0322-01B_K064740,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064740_S31_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064740_S31_R2_001.fastq.gz,S0322-01B,S0322-01B
144,S0324-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0324-01_S31_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0324-01_S31_R2_001.fastq.gz,S0324-01,S0324-01
145,S0325-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0325-01_S47_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0325-01_S47_R2_001.fastq.gz,S0325-01,S0325-01
146,S0326-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0326-01_S44_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0326-01_S44_R2_001.fastq.gz,S0326-01,S0326-01
147,S0326-01B_K064713,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064713_S4_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064713_S4_R2_001.fastq.gz,S0326-01B,S0326-01B
148,S0329-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0329-01_S52_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0329-01_S52_R2_001.fastq.gz,S0329-01,S0329-01
149,S0330-01_K064751,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064751_S42_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064751_S42_R2_001.fastq.gz,S0330-01,S0330-01
150,S0331-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0331-01_S13_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0331-01_S13_R2_001.fastq.gz,S0331-01,S0331-01
151,S0331-01B_K064712,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064712_S3_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064712_S3_R2_001.fastq.gz,S0331-01B,S0331-01B
152,S0331-01_K064729,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064729_S20_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064729_S20_R2_001.fastq.gz,S0331-01,S0331-01_K064729
153,S0334-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0334-01_S22_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0334-01_S22_R2_001.fastq.gz,S0334-01,S0334-01
154,S0334-01B_K064720,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064720_S11_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064720_S11_R2_001.fastq.gz,S0334-01B,S0334-01B
155,S0336-01_K064730,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064730_S21_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064730_S21_R2_001.fastq.gz,S0336-01,S0336-01
156,S0338-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0338-01_S9_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0338-01_S9_R2_001.fastq.gz,S0338-01,S0338-01
157,S0340-01_K064749,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064749_S40_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064749_S40_R2_001.fastq.gz,S0340-01,S0340-01
158,S0341-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0341-01_S62_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0341-01_S62_R2_001.fastq.gz,S0341-01,S0341-01
159,S0341-01B_K064757,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064757_S48_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064757_S48_R2_001.fastq.gz,S0341-01B,S0341-01B
160,S0343-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0343-01_S5_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0343-01_S5_R2_001.fastq.gz,S0343-01,S0343-01
161,S0343-01B_K064736,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064736_S27_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064736_S27_R2_001.fastq.gz,S0343-01B,S0343-01B
162,S0348-01_K064737,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064737_S28_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064737_S28_R2_001.fastq.gz,S0348-01,S0348-01
163,S0351-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0351-01_S19_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0351-01_S19_R2_001.fastq.gz,S0351-01,S0351-01
164,S0352-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0352-01_S1_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0352-01_S1_R2_001.fastq.gz,S0352-01,S0352-01
165,S0352-01B_K064735,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064735_S26_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064735_S26_R2_001.fastq.gz,S0352-01B,S0352-01B
166,S0353-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0353-01_S7_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0353-01_S7_R2_001.fastq.gz,S0353-01,S0353-01
167,S0354-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0354-01_S10_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0354-01_S10_R2_001.fastq.gz,S0354-01,S0354-01
168,S0355-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0355-01_S23_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0355-01_S23_R2_001.fastq.gz,S0355-01,S0355-01
169,S0360-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0360-01_S18_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0360-01_S18_R2_001.fastq.gz,S0360-01,S0360-01
170,S0362-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0362-01_S21_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0362-01_S21_R2_001.fastq.gz,S0362-01,S0362-01
171,S0363-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0363-01_S11_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0363-01_S11_R2_001.fastq.gz,S0363-01,S0363-01
172,S0366-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0366-01_S4_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0366-01_S4_R2_001.fastq.gz,S0366-01,S0366-01
173,S0367-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0367-01_S6_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0367-01_S6_R2_001.fastq.gz,S0367-01,S0367-01
174,S0367-01B_K064717,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064717_S8_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064717_S8_R2_001.fastq.gz,S0367-01B,S0367-01B
175,S0370-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0370-01_S59_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0370-01_S59_R2_001.fastq.gz,S0370-01,S0370-01
176,S0372-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0372-01_S3_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0372-01_S3_R2_001.fastq.gz,S0372-01,S0372-01
177,S0377-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0377-01_S55_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0377-01_S55_R2_001.fastq.gz,S0377-01,S0377-01
178,S0377-01B_K064716,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064716_S7_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064716_S7_R2_001.fastq.gz,S0377-01B,S0377-01B
179,S0377-01_K064756,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064756_S47_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064756_S47_R2_001.fastq.gz,S0377-01,S0377-01_K064756
180,S0378-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0378-01_S45_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0378-01_S45_R2_001.fastq.gz,S0378-01,S0378-01
181,S0380-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0380-01_S8_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0380-01_S8_R2_001.fastq.gz,S0380-01,S0380-01
182,S0387-01_K064752,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064752_S43_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064752_S43_R2_001.fastq.gz,S0387-01,S0387-01
183,S0391-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0391-01_S32_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0391-01_S32_R2_001.fastq.gz,S0391-01,S0391-01
184,S0391-01B_K064719,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064719_S10_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064719_S10_R2_001.fastq.gz,S0391-01B,S0391-01B
185,S0393-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0393-01_S2_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20240819_TwistV2/S0393-01_S2_R2_001.fastq.gz,S0393-01,S0393-01
